datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,rent
0,3.6881810399355754,4.335778057567098,4.368517330514143,4.410984188067986,9.84,14.395,81,0.0,2.833213344056216
1,3.6881810399355754,4.335778057567098,4.368517330514143,4.410984188067986,9.02,13.635,80,0.0,3.713572066704308
2,3.6881810399355754,4.335778057567098,4.368517330514143,4.410984188067986,9.02,13.635,80,0.0,3.4965075614664802
3,3.6881810399355754,4.335778057567098,4.368517330514143,4.410984188067986,9.84,14.395,75,0.0,2.639057329615259
4,3.6881810399355754,4.335778057567098,4.368517330514143,4.410984188067986,9.84,14.395,75,0.0,0.6931471805599453
5,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,9.84,12.88,75,6.0032,0.6931471805599453
6,3.6881810399355754,4.335778057567098,4.368517330514143,4.410984188067986,9.02,13.635,80,0.0,1.0986122886681096
7,3.6881810399355754,4.335778057567098,4.368517330514143,4.410984188067986,8.2,12.88,86,0.0,1.3862943611198906
8,3.6881810399355754,4.335778057567098,4.368517330514143,4.410984188067986,9.84,14.395,75,0.0,2.1972245773362196
9,3.6881810399355754,4.335778057567098,4.368517330514143,4.410984188067986,13.12,17.425,76,0.0,2.70805020110221
10,3.6881810399355754,4.335778057567098,4.368517330514143,4.410984188067986,15.58,19.695,76,16.9979,3.6109179126442243
11,3.6881810399355754,4.335778057567098,4.368517330514143,4.410984188067986,14.76,16.665,81,19.0012,4.04305126783455
12,3.6881810399355754,4.335778057567098,4.368517330514143,4.410984188067986,17.22,21.21,77,19.0012,4.442651256490317
13,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,18.86,22.725,72,19.9995,4.553876891600541
14,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,18.86,22.725,72,19.0012,4.672828834461906
15,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,18.04,21.97,77,19.9995,4.709530201312334
16,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,17.22,21.21,82,19.9995,4.543294782270004
17,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,18.04,21.97,82,19.0012,4.219507705176107
18,3.6881810399355754,4.335778057567098,4.368517330514143,3.815765553115391,17.22,21.21,88,16.9979,3.58351893845611
19,3.6881810399355754,4.335778057567098,4.368517330514143,3.815765553115391,17.22,21.21,88,16.9979,3.6375861597263857
20,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,16.4,20.455,87,16.9979,3.6109179126442243
21,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,16.4,20.455,87,12.998,3.5553480614894135
22,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,16.4,20.455,94,15.0013,3.367295829986474
23,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,18.86,22.725,88,19.9995,3.6888794541139363
0,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,18.86,22.725,88,19.9995,2.8903717578961645
1,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,18.04,21.97,94,16.9979,2.8903717578961645
2,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,17.22,21.21,100,19.0012,2.302585092994046
3,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,18.86,22.725,94,12.998,1.9459101490553132
4,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,18.86,22.725,94,12.998,1.3862943611198906
6,3.6881810399355754,4.335778057567098,4.368517330514143,3.815765553115391,17.22,21.21,77,19.9995,1.0986122886681096
7,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,16.4,20.455,76,12.998,0.6931471805599453
8,3.6881810399355754,4.335778057567098,4.368517330514143,3.815765553115391,16.4,20.455,71,15.0013,2.1972245773362196
9,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,15.58,19.695,76,15.0013,3.044522437723423
10,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,14.76,17.425,81,15.0013,3.9889840465642745
11,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,14.76,16.665,71,16.9979,4.2626798770413155
12,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,14.76,16.665,66,19.9995,4.543294782270004
13,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,14.76,17.425,66,8.9981,4.330733340286331
14,3.6881810399355754,4.335778057567098,4.368517330514143,3.815765553115391,14.76,17.425,76,12.998,4.0943445622221
15,3.6881810399355754,4.335778057567098,4.368517330514143,3.815765553115391,13.94,16.665,81,11.0014,4.31748811353631
16,3.6881810399355754,4.335778057567098,4.368517330514143,3.815765553115391,13.94,16.665,71,11.0014,4.343805421853684
17,3.6881810399355754,4.335778057567098,4.368517330514143,4.410984188067986,13.94,16.665,57,12.998,4.189654742026425
18,3.6881810399355754,4.335778057567098,4.368517330514143,4.325010174106276,14.76,16.665,46,22.0028,3.9889840465642745
19,3.6881810399355754,4.335778057567098,4.368517330514143,4.410984188067986,13.12,14.395,42,30.0026,3.4339872044851463
20,3.6881810399355754,4.335778057567098,4.368517330514143,4.410984188067986,12.3,13.635,39,23.9994,3.1354942159291497
21,3.6881810399355754,4.335778057567098,4.368517330514143,4.410984188067986,10.66,11.365,44,22.0028,3.4657359027997265
22,3.6881810399355754,4.335778057567098,4.368517330514143,4.410984188067986,9.84,10.605,44,19.9995,2.302585092994046
23,3.6881810399355754,4.335778057567098,4.368517330514143,4.410984188067986,9.02,11.365,47,11.0014,2.1972245773362196
0,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,9.02,9.85,44,23.9994,1.791759469228055
1,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,8.2,8.335,44,27.9993,1.0986122886681096
4,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,6.56,6.82,47,26.0027,0.6931471805599453
5,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,6.56,6.82,47,19.0012,1.3862943611198906
6,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,5.74,5.305,50,26.0027,3.4339872044851463
7,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,5.74,6.82,50,12.998,4.174387269895637
8,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,5.74,6.06,50,19.0012,5.043425116919247
9,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,6.56,6.82,43,26.0027,4.48863636973214
10,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,7.38,8.335,43,16.9979,3.8066624897703196
11,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,8.2,9.09,40,22.0028,3.9512437185814275
12,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,9.02,10.605,35,19.9995,4.127134385045092
13,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,9.84,10.605,35,19.0012,4.127134385045092
14,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,10.66,12.12,30,19.0012,4.356708826689592
15,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,10.66,12.12,30,16.9979,4.290459441148391
16,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,10.66,12.12,30,16.9979,4.343805421853684
17,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,9.84,11.365,30,15.0013,5.062595033026967
18,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,9.84,12.88,32,7.0015,5.062595033026967
19,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,8.2,12.88,47,0.0,4.709530201312334
20,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,8.2,11.365,47,7.0015,3.970291913552122
21,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,7.38,9.85,64,8.9981,3.970291913552122
22,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,5.74,7.575,69,8.9981,3.044522437723423
23,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,7.38,10.605,55,7.0015,2.5649493574615367
0,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,6.56,9.09,55,7.0015,1.791759469228055
1,3.6881810399355754,4.335778057567098,4.322891690777167,4.410984188067986,6.56,9.09,59,7.0015,1.0986122886681096
